31; Marlos Alex de Oliveira Marques; Reconstrucao digital de documentos mutilados com formas regulares; Informatica; Mestrado
32; Claudia Arezio Ricardo; Otimizacao do processo de decisao no handover vertical em redes baseadas no subsistema multimidia IP (IMS); Informatica; Mestrado
70; Juan Andres Mussini; Novas arquiteturas para deteccao de plagio baseadas em redes P2P; Informatica; Mestrado
76; Dennis Otte Lacerda; Sociedade contemporanea e direitos da personalidade: perspectivas de uma repactuacao semantica; Direito; Mestrado
77; Ana Carolina Martinhago; A reducao da duracao do trabalho: fundamentos juridicos e aspectos socioeconomicos; Direito; Mestrado
4; Alessandra Dabul; Relacoes tributarias e relacoes de consumo: o dever de informacao da carga tributaria incidente sobre o consumo ao cidadao consumidor-contribuinte; Direito; Doutorado
11; Liliane Maria Busato Batista; Evolucao do ambiente social e economico: necessidade de revisitar o sistema recursal brasileiro frente ao principio constitucional que assegura razoavel duracao do processo; Direito; Doutorado
12; Nelson Souza Neto; Igualdade nas contribuicoes para a seguranca social: estudo a luz da ordem economica e da sustentabilidade fiscal; Direito; Mestrado
19; Heitor Andre Kirsten; Comparacao entre os modelos holt-winters e redes neurais para previsao de series temporais financeiras; Engenharia de producao e sistemas; Mestrado
24; Mariano Pacholok; Uso da termografia para avaliacao do desalinhamento de eixos de maquinas rotativas :uma ferramenta auxiliar a analise de vibracoes; Engenharia Mecanica; Mestrado
25; Cleo Pinheiro de Souza; Projeto e construcao de equipamento para treinamento em anastomoses vasculares e analise de vazamento; Engenharia Mecanica; Mestrado
36; Luciano de Souza Ribeiro Bueno; Estudo da influencia da composicao do oleo vegetal sobre algumas propriedades do biodiesel; Engenharia Mecanica; Mestrado
37; Roberto Mathias Susin; Analise numerica do escoamento em uma sala retangular ventilada por um jato horizontal de parede; Engenharia Mecanica; Mestrado
38; Rodrigo Cantu Polo; Cache cooperativo aplicado ao protocolo GIP em redes AD HOC moveis; Informatica; Mestrado
57; Jose Mario Fernandes de Paiva Junior; Analise do processo de furacao do ferro fundido vermicular com brocas de metal-duro com canais retos revestidas com TIN+TiAIN, AICrN e AICr-Based; Engenharia Mecanica; Mestrado
58; Ellen Mosquetti; Parcerias publico-privadas: delegacao de servicos publicos e desenvolvimento; Direito; Mestrado
59; Alessandra de Paula; Proposta de um modelo de controle de qualidade em ensino a distancia, no que se refere a tutoria, utilizando o modelo servqual; Engenharia de producao e sistemas; Mestrado
67; Juliana Santilli; Agrobiodiversidade e direitos dos agricultores; Direito; Doutorado
68; Alexia Rodrigues Brotto; Repensando a legitimidade do poder judiciario brasileiro no atual contexto socioeconomico; Direito; Mestrado
69; Maicon Stihler; Uma arquitetura de controle de uso para sistemas distribuidos em ambientes colaborativos; Informatica; Mestrado
13; Roberson Henrique Pozzobon; Uma travessia do Supremo Tribunal Federal sob as lentes da judicializacao da politica: da auto-contencao do ativismo; Direito; Mestrado
14; Michel Vinicius Werkhauser; Analise numerica do escoamento e da transferencia de calor no interior de refrigeradores domesticos; Engenharia Mecanica; Mestrado
18; Gabriela Lobo Veiga; Uma discussao sobre o papel estrategico do modelo de producao enxuta; Engenharia de producao e sistemas; Mestrado
26; Geovani Oliveira de Souza; Analise numerica e experimental do desempenho de silenciadores automotivos dissipativos e reativos; Engenharia Mecanica; Mestrado
94; Filipe Buschinelli Della Coletta; Estudo da administracao de materiais em uma empresa dos setores automotivo e de eletrodomesticos; Engenharia de Producao Mecanica; TCC
27; Thiago Merege Pereira; Gerenciamento de politicas de qualidade de servico com suporte a mobilidade; Informatica; Mestrado
53; Emerson Romanhuki; Aprendizagem de politicas de oferta de negociacao entre agentes cognitivos; Informatica; Mestrado
54; Arlindo Luis Marcon Junior; Gerenciamento de politicas de controle de acesso fracamente acoplado para servicos Web; Informatica; Mestrado
87; Marlon Alejandro Figueroa Del Cid; Sistema de medida da dilatacao da pupila; Engenharia Eletrica; TCC
55; Regivaldo Gomes Costa; Sistema seguro de votacao eletronica multi-cedulas; Informatica; Mestrado
39; Renata Mara Schneckenberg Wowk; Monitoracao de metricas de qualidades de servico de redes para aplicacao de tempo-real utilizando tecnicas de amostragem baseadas em controle estatistico de processo; Informatica; Mestrado
43; Isabelle Calliari Monteiro de Lima; Consumo consciente e responsabilidade socioambiental estatal; Direito; Mestrado
95; Gerson Rodrigues Cordeiro Junior; Descargas atmosfericas: levantamento das redes da Elektro; Engenharia Eletrica; TCC
44; Fabiano Augusto Piazza Baracat; Barreiras ambientais ao comercio e sustentabilidade; Direito; Mestrado
28; Edson Jose Rodrigues Justino; O grafismo e os modelos escondidos de Markov na verificacao automatica de assinaturas; Informatica; Doutorado 
33; Douglas Santos; Avaliacao do comportamento de sistemas operacionais em situacao de Thrashing; Informatica; Mestrado
34; Rodrigo Peres Mendes de Souza; Analise da qualidade da informacao em indicadores de desempenho utilizados em processos de gestao da cadeia de suprimentos: um estudo de caso; Engenharia de producao e sistemas; Mestrado
64; Luciane Yumi Suzuki; Propriedades superficiais do aco AISI H13 apos tratamento duplex (nitretacao e (TiAIN) para moldes de injecao de aluminio; Engenharia Mecanica; Mestrado
88; Anderson Garofalo; Metodologia de analise da protecao de distancia para testes em um rele digital; Engenharia Eletrica; TCC
65; Murilo Santos; Combinando caracteristicas complementares em modelos escondidos de Markov: uma melhoria de desempenho para o reconhecimento de caracteres manuscritos; Informatica; Mestrado
66; Marcelo Henrique Vithoft; Um servico de gerenciamento seguro de conteudos P2P compartilhados em Manet; Informatica; Mestrado
45; Erika Medeiros Krugel Stocco; A apatia politica do cidadao e o papel da educacao escolar na construcao da cidadania; Direito; Mestrado
49; Everton Drohomeretski; Um estudo do impacto das formas de controle de inventario na acuracidade de estoque; Engenharia de producao e sistemas; Mestrado
50; Carlos Eduardo Gusso Tosin; Uma infra-estrutura reflexiva para aplicacoes dependentes de contexto; Informatica; Mestrado
56; Euclides Peres Farias Junior; Estudo comparativo entre algoritmos de regras de associacao de forma normal e incremental de dados; Informatica; Mestrado
62; Christian Scapulatempo Strobel; Transferencia de calor condutiva e radiativa atraves de sistemas vitreos planos e compostos; Engenharia Mecanica; Mestrado
96; Luciano Jose Rodrigues Coelho; Desenvolvimento de um estimulador eletrico neuromuscular para o controle da marcha de pacientes paraplegicos; Engenharia Eletrica; TCC
63; Gerson Henrique dos Santos; Transferencia tridimensional acoplada de calor e de umidade em solos sob edificacoes; Engenharia Mecanica; Mestrado
35; Vinicius Pereira Silva; Estudo numerico e experimental em amortecedores tipo stockbride para linhas de transmissao aereas; Engenharia Mecanica; Mestrado
51; Edson Ossamu Kageyama; Um sistema de correio eletronico baseado no paradigma peer-to-peer; Informatica; Mestrado
52; Bruno Giacomet; Otimizacao distribuida de restricoes em ambientes dinamicos; Informatica; Mestrado
97; Vitor Alexandre Mescolotti; Oscilador sintetizado para a banda de UHF com interface digital; Engenharia Eletrica; TCC
